STT,English,Vietnamese,,
1,One of the 3 owners of the 2024 Nobel Prize in Chemistry came to Vietnam in 2022 to receive the VinFuture Prize.,Một trong 3 chủ nhân của giải Nobel hóa học 2024 đã từng đến Việt Nam năm 2022 để nhận giải thưởng VinFuture. ,,
2,"From Hanoi, he sent a message to Vietnamese students to dare to dream big things like himself in his youth.","Từ Hà Nội, ông đã gửi lời nhắn tới sinh viên Việt Nam hãy dám mơ những điều lớn lao giống như chính ông thời trẻ.",,
3,"Recently, on her personal page, Dr. Le Mai Lan, Chairman of the Board of Trustees of VinUni University shared a photo she took with Dr. John Jumper (born in 1985) from December 2022.","Mới đây, trên trang cá nhân của mình, TS Lê Mai Lan, Chủ tịch Hội đồng trường ĐH VinUni đã chia sẻ bức ảnh bà chụp với TS John Jumper (sinh năm 1985) từ tháng 12.2022.",,
4,"Sharing with Thanh Nien Newspaper, Dr. Le Mai Lan recalled: ""Dr. John Jumper is one of the two scientists who won the special prize in VinFuture's new fields research 2022 thanks to the work of the artificial intelligence system that decodes the AlphaFold 2 protein.","Chia sẻ với Báo Thanh Niên, TS Lê Mai Lan nhớ lại: ""TS John Jumper là một trong hai nhà khoa học đạt giải đặc biệt trong nghiên cứu các lĩnh vực mới của VinFuture 2022 nhờ công trình hệ thống trí tuệ nhân tạo giải mã protein AlphaFold 2.",,
5,"Before the award ceremony, I met and interviewed John at the Metropole Hotel, Hanoi.","Trước lễ trao giải, tôi đã gặp và phỏng vấn John tại khách sạn Metropole, Hà nội.",,
6,"She is very young, with shaggy hair, khaki pants, and a turtleneck sweater, not much different from the students I still meet every day at VinUni.","Bạn ấy rất trẻ, tóc tai bù xù, quần kaki, áo len cổ lọ, không khác nhiều các sinh viên mà tôi vẫn gặp hàng ngày ở VinUni.",,
7,"At that time, I saw that she was too impressed, the work that her group did was so great.","Khi đó tôi đã thấy bạn ấy quá ấn tượng, công trình mà nhóm bạn ấy làm quá vĩ đại.",,
8,"At that moment, I firmly believed that she would go a long way, and felt honored to meet such a wonderful person!""","Cũng ngay lúc đó tôi đã tin tưởng chắc chắn rằng bạn ấy sẽ còn tiến rất xa, và cảm thấy vinh hạnh được tiếp xúc một người tuyệt vời như vậy!"".",,
9,"The other scientist, the co-owner of the special prize in research in new fields of VinFuture 2022 with Dr. John Jumper, which Dr. Le Mai Lan mentioned above, is Dr. Demis Hassabis, co-founder of Deepmind.","Nhà khoa học còn lại, đồng chủ nhân giải đặc biệt trong nghiên cứu các lĩnh vực mới của VinFuture 2022 với TS John Jumper mà TS Lê Mai Lan nhắc đến ở trên là TS Demis Hassabis, đồng sáng lập Deepmind.",,
10,"Dr. Demis Hassabis is also one of three scientists to be awarded the 2024 Nobel Prize in Chemistry such as Dr. John Jumper (the third is Prof. David Baker, Howard Hughes Medical Institute, University of Washington, USA).","TS Demis Hassabis cũng là một trong số ba nhà khoa học được giải Nobel hóa học 2024 như TS John Jumper (người thứ ba là GS David Baker, Viện Y khoa Howard Hughes, ĐH Washington, Mỹ).",,
11,"For personal reasons, Dr. Hassabis could not fly to Vietnam to receive the VinFuture Award.",Vì lý do cá nhân mà TS Hassabis không thể bay sang Việt Nam nhận giải VinFuture.,,
12,This is my first time in Vietnam.,Đây là lần đầu tiên tôi tới Việt Nam.,,
13,"Your city has an ancient beauty, but it is also very lively.","Thành phố của các bạn có vẻ đẹp cổ kính, nhưng cũng rất náo nhiệt.",,
14,A place that gave me a very great feeling.,Một nơi cho tôi cảm xúc rất tuyệt vời.,,
15,"When I received this award, I was very excited, and at the same time, I was very impressed with the vision of this award.","Khi nhận được giải thưởng này, tôi đã rất phấn khích, đồng thời tôi cũng rất ấn tượng với tầm nhìn của giải thưởng này.",,
16,"I like the way the award honors new areas, areas that are considered pioneers, areas that we are gradually reaching, we hope that is a signal of the beginning.""","Tôi thích cách giải thưởng vinh danh những lĩnh vực mới, những lĩnh vực được coi là tiên phong, những lĩnh vực mà chúng ta đang dần chạm tới, chúng ta hy vọng đó là tín hiệu của sự khởi đầu"".",,
17,"Previously, in a report on the Deepmind team's AlphaFold research, Dr. Demis Hassabis shared the unexpected success of the project","Trước đó, trong một phóng sự về việc nghiên cứu AlphaFold của nhóm Deepmind, TS Demis Hassabis chia sẻ sự thành công bất ngờ của dự án",,
18," It is a process of research, learning for too long, through many stops, and then starting from the beginning.","Đó là một quá trình nghiên cứu, tìm hiểu quá lâu, qua rất nhiều lần dừng lại, rồi lại bắt đầu từ đầu.",,
19,"Many times scientists wonder if they will come to a result, but suddenly a solution appears.",Nhiều lần các nhà khoa học tự hỏi liệu có đi tới kết quả không thì đột nhiên xuất hiện giải pháp.,,
20,"This sharing was commented by a professor at the University of Oxford, UK: ""This is the miracle, the excitement when talking about science.","Chia sẻ này được một giáo sư của ĐH Oxford, Anh bình luận: ""Điều này chính là sự kỳ diệu, là điều hứng khởi khi nói về khoa học.",,
21," You don't know exactly what's going to happen, but there's always something unexpected, and it's a motivation for scientists when they're nervous about what the next surprise will be!""","Bạn không biết chính xác điều gì sẽ xảy ra, vậy nhưng luôn có điều bất ngờ, và nó là động lực cho các nhà khoa học khi họ hồi hộp chưa biết tiếp theo sẽ là điều ngạc nhiên nào!"".",,
